FrameMillis,Value,EmotionRange
175,0.182615,<0.2
176,0.16277811,<0.2
177,0.10535236,<0.2
178,0.048806004,<0.2
179,0.023487343,<0.2
180,0.01674892,<0.2
181,0.015400765,<0.2
182,0.01740681,<0.2
183,0.077608675,<0.2
184,0.10972563,<0.2
185,0.13922545,<0.2
186,0.1389712,<0.2
187,0.15472607,<0.2
188,0.1356462,<0.2
189,0.12103579,<0.2
190,0.10130381,<0.2
191,0.04292938,<0.2
192,0.13576135,<0.2
193,0.23366486,>=0.2
194,0.105425745,<0.2
195,0.2385366,>=0.2
196,0.23800872,>=0.2
197,0.097647436,<0.2
198,0.08347614,<0.2
199,0.089108005,<0.2
200,0.095004074,<0.2
201,0.14415288,<0.2
202,0.16461712,<0.2
203,0.162052,<0.2
204,0.0577872,<0.2
205,0.0768504,<0.2
206,0.06699937,<0.2
207,0.02644842,<0.2
208,0.01680566,<0.2
209,0.055235714,<0.2
210,0.038912885,<0.2
211,0.023319377,<0.2
212,0.0431631,<0.2
213,0.037337225,<0.2
214,0.077275895,<0.2
215,0.047868866,<0.2
216,0.07618469,<0.2
217,0.06456739,<0.2
218,0.014934985,<0.2
219,0.020098144,<0.2
220,0.01362485,<0.2
221,0.014363054,<0.2
222,0.014190609,<0.2
223,0.019466916,<0.2
224,0.024927245,<0.2
225,0.016944217,<0.2
226,0.019832011,<0.2
227,0.029026134,<0.2
228,0.04748267,<0.2
229,0.03890638,<0.2
230,0.06874259,<0.2
231,0.08640503,<0.2
232,0.09346696,<0.2
233,0.03348107,<0.2
234,0.017085679,<0.2
235,0.010957524,<0.2
236,0.011293524,<0.2
237,0.009915323,<0.2
238,0.010129183,<0.2
239,0.010576811,<0.2
240,0.009149615,<0.2
241,0.010388956,<0.2
242,0.012059657,<0.2
243,0.0113748,<0.2
244,0.009062927,<0.2
245,0.011078881,<0.2
246,0.010591798,<0.2
247,0.01563774,<0.2
248,0.015241811,<0.2
249,0.01711385,<0.2
250,0.041443117,<0.2
251,0.15603961,<0.2
252,0.22312339,>=0.2
253,0.37127605,>=0.2
254,0.38328767,>=0.2
255,0.35043156,>=0.2
256,0.083707824,<0.2
257,0.022232361,<0.2
258,0.015678989,<0.2
259,0.008804097,<0.2
260,0.00970692,<0.2
261,0.01023315,<0.2
262,0.013036111,<0.2
263,0.009075733,<0.2
264,0.014518367,<0.2
265,0.019133395,<0.2
266,0.04066956,<0.2
267,0.07932463,<0.2
268,0.12032724,<0.2
269,0.06264782,<0.2
270,0.06179715,<0.2
271,0.040886283,<0.2
272,0.059014812,<0.2
273,0.022450468,<0.2
274,0.032377813,<0.2
275,0.03640872,<0.2
276,0.05897667,<0.2
277,0.028101664,<0.2
278,0.07466598,<0.2
279,0.037860572,<0.2
280,0.059315305,<0.2
281,0.153712,<0.2
282,0.1542141,<0.2
283,0.37977383,>=0.2
284,0.28360373,>=0.2
285,0.182615,<0.2
286,0.16277811,<0.2
287,0.10535236,<0.2
288,0.048806004,<0.2
289,0.023487343,<0.2
290,0.01674892,<0.2
291,0.015400765,<0.2
292,0.01740681,<0.2
293,0.077608675,<0.2
294,0.10972563,<0.2
295,0.13922545,<0.2
296,0.1389712,<0.2
297,0.15472607,<0.2
298,0.1356462,<0.2
299,0.12103579,<0.2
300,0.10130381,<0.2
301,0.04292938,<0.2
302,0.13576135,<0.2
303,0.23366486,>=0.2
304,0.105425745,<0.2
305,0.2385366,>=0.2
306,0.23800872,>=0.2
307,0.097647436,<0.2
308,0.08347614,<0.2
309,0.089108005,<0.2
310,0.095004074,<0.2
311,0.14415288,<0.2
312,0.16461712,<0.2
313,0.162052,<0.2
314,0.0577872,<0.2
315,0.0768504,<0.2
316,0.06699937,<0.2
317,0.02644842,<0.2
318,0.01680566,<0.2
319,0.055235714,<0.2
320,0.038912885,<0.2
321,0.023319377,<0.2
322,0.0431631,<0.2
323,0.037337225,<0.2
324,0.077275895,<0.2
325,0.047868866,<0.2
326,0.07618469,<0.2
327,0.06456739,<0.2
328,0.014934985,<0.2
329,0.020098144,<0.2
330,0.01362485,<0.2
331,0.014363054,<0.2
332,0.014190609,<0.2
333,0.019466916,<0.2
334,0.024927245,<0.2
335,0.016944217,<0.2
336,0.019832011,<0.2
337,0.029026134,<0.2
338,0.04748267,<0.2
339,0.03890638,<0.2
340,0.06874259,<0.2
341,0.08640503,<0.2
342,0.09346696,<0.2
343,0.03348107,<0.2
344,0.017085679,<0.2
345,0.010957524,<0.2
346,0.011293524,<0.2
347,0.009915323,<0.2
348,0.010129183,<0.2
349,0.010576811,<0.2
350,0.009149615,<0.2
351,0.010388956,<0.2
352,0.012059657,<0.2
353,0.0113748,<0.2
354,0.009062927,<0.2
355,0.011078881,<0.2
356,0.010591798,<0.2
357,0.01563774,<0.2
358,0.015241811,<0.2
359,0.01711385,<0.2
360,0.041443117,<0.2
361,0.15603961,<0.2
362,0.22312339,>=0.2
363,0.37127605,>=0.2
364,0.38328767,>=0.2
365,0.35043156,>=0.2
366,0.083707824,<0.2
367,0.022232361,<0.2
368,0.015678989,<0.2
369,0.008804097,<0.2
370,0.00970692,<0.2
371,0.01023315,<0.2
372,0.013036111,<0.2
373,0.009075733,<0.2
374,0.014518367,<0.2
375,0.019133395,<0.2
376,0.04066956,<0.2
377,0.07932463,<0.2
378,0.12032724,<0.2
379,0.06264782,<0.2
380,0.06179715,<0.2
381,0.040886283,<0.2
382,0.059014812,<0.2
383,0.022450468,<0.2
384,0.032377813,<0.2
385,0.03640872,<0.2
386,0.05897667,<0.2
387,0.028101664,<0.2
388,0.07466598,<0.2
389,0.037860572,<0.2
390,0.059315305,<0.2
391,0.153712,<0.2
392,0.1542141,<0.2
393,0.37977383,>=0.2
394,0.28360373,>=0.2
395,0.182615,<0.2
396,0.16277811,<0.2
397,0.10535236,<0.2
398,0.048806004,<0.2
399,0.023487343,<0.2
400,0.01674892,<0.2
401,0.015400765,<0.2
402,0.01740681,<0.2
403,0.077608675,<0.2
404,0.10972563,<0.2
405,0.13922545,<0.2
406,0.1389712,<0.2
407,0.15472607,<0.2
408,0.1356462,<0.2
409,0.12103579,<0.2
410,0.10130381,<0.2
411,0.04292938,<0.2
412,0.13576135,<0.2
413,0.23366486,>=0.2
414,0.105425745,<0.2
415,0.2385366,>=0.2
416,0.23800872,>=0.2
417,0.097647436,<0.2
418,0.08347614,<0.2
419,0.089108005,<0.2
420,0.095004074,<0.2
421,0.14415288,<0.2
422,0.16461712,<0.2
423,0.162052,<0.2
424,0.0577872,<0.2
425,0.0768504,<0.2
426,0.06699937,<0.2
427,0.02644842,<0.2
428,0.01680566,<0.2
429,0.055235714,<0.2
430,0.038912885,<0.2
431,0.023319377,<0.2
432,0.0431631,<0.2
433,0.037337225,<0.2
434,0.077275895,<0.2
435,0.047868866,<0.2
436,0.07618469,<0.2
437,0.06456739,<0.2
438,0.014934985,<0.2
439,0.020098144,<0.2
440,0.01362485,<0.2
441,0.014363054,<0.2
442,0.014190609,<0.2
443,0.019466916,<0.2
444,0.024927245,<0.2
445,0.016944217,<0.2
446,0.019832011,<0.2
447,0.029026134,<0.2
448,0.04748267,<0.2
449,0.03890638,<0.2
450,0.06874259,<0.2
451,0.08640503,<0.2
452,0.09346696,<0.2
453,0.03348107,<0.2
454,0.017085679,<0.2
455,0.010957524,<0.2
456,0.011293524,<0.2
457,0.009915323,<0.2
458,0.010129183,<0.2
459,0.010576811,<0.2
460,0.009149615,<0.2
461,0.010388956,<0.2
462,0.012059657,<0.2
463,0.0113748,<0.2
464,0.009062927,<0.2
465,0.011078881,<0.2
466,0.010591798,<0.2
467,0.01563774,<0.2
468,0.015241811,<0.2
469,0.01711385,<0.2
470,0.041443117,<0.2
471,0.15603961,<0.2
472,0.22312339,>=0.2
473,0.37127605,>=0.2
474,0.38328767,>=0.2
475,0.35043156,>=0.2
476,0.083707824,<0.2
477,0.022232361,<0.2
478,0.015678989,<0.2
479,0.008804097,<0.2
480,0.00970692,<0.2
481,0.01023315,<0.2
482,0.013036111,<0.2
483,0.009075733,<0.2
484,0.014518367,<0.2
485,0.019133395,<0.2
486,0.04066956,<0.2
487,0.07932463,<0.2
488,0.12032724,<0.2
489,0.06264782,<0.2
490,0.06179715,<0.2
491,0.040886283,<0.2
492,0.059014812,<0.2
493,0.022450468,<0.2
494,0.032377813,<0.2
495,0.03640872,<0.2
496,0.05897667,<0.2
497,0.028101664,<0.2
498,0.07466598,<0.2
499,0.037860572,<0.2
500,0.059315305,<0.2
501,0.153712,<0.2
502,0.1542141,<0.2
503,0.37977383,>=0.2
504,0.28360373,>=0.2
505,0.182615,<0.2
506,0.16277811,<0.2
507,0.10535236,<0.2
508,0.048806004,<0.2
509,0.023487343,<0.2
510,0.01674892,<0.2
511,0.015400765,<0.2
512,0.01740681,<0.2
513,0.077608675,<0.2
514,0.10972563,<0.2
515,0.13922545,<0.2
516,0.1389712,<0.2
517,0.15472607,<0.2
518,0.1356462,<0.2
519,0.12103579,<0.2
520,0.10130381,<0.2
521,0.04292938,<0.2
522,0.13576135,<0.2
523,0.23366486,>=0.2
524,0.105425745,<0.2
525,0.2385366,>=0.2
526,0.23800872,>=0.2
527,0.097647436,<0.2
528,0.08347614,<0.2
529,0.089108005,<0.2
530,0.095004074,<0.2
531,0.14415288,<0.2
532,0.16461712,<0.2
533,0.162052,<0.2
534,0.0577872,<0.2
535,0.0768504,<0.2
536,0.06699937,<0.2
537,0.02644842,<0.2
538,0.01680566,<0.2
539,0.055235714,<0.2
540,0.038912885,<0.2
541,0.023319377,<0.2
542,0.0431631,<0.2
543,0.037337225,<0.2
544,0.077275895,<0.2
545,0.047868866,<0.2
546,0.07618469,<0.2
547,0.06456739,<0.2
548,0.014934985,<0.2
549,0.020098144,<0.2
550,0.01362485,<0.2
551,0.014363054,<0.2
552,0.014190609,<0.2
553,0.019466916,<0.2
554,0.024927245,<0.2
555,0.016944217,<0.2
556,0.019832011,<0.2
557,0.029026134,<0.2
558,0.04748267,<0.2
559,0.03890638,<0.2
560,0.06874259,<0.2
561,0.08640503,<0.2
562,0.09346696,<0.2
563,0.03348107,<0.2
564,0.017085679,<0.2
565,0.010957524,<0.2
566,0.011293524,<0.2
567,0.009915323,<0.2
568,0.010129183,<0.2
569,0.010576811,<0.2
570,0.009149615,<0.2
571,0.010388956,<0.2
572,0.012059657,<0.2
573,0.0113748,<0.2
574,0.009062927,<0.2
575,0.011078881,<0.2
576,0.010591798,<0.2
577,0.01563774,<0.2
578,0.015241811,<0.2
579,0.01711385,<0.2
580,0.041443117,<0.2
581,0.15603961,<0.2
582,0.22312339,>=0.2
583,0.37127605,>=0.2
584,0.38328767,>=0.2
585,0.35043156,>=0.2
586,0.083707824,<0.2
587,0.022232361,<0.2
588,0.015678989,<0.2
589,0.008804097,<0.2
590,0.00970692,<0.2
591,0.01023315,<0.2
592,0.013036111,<0.2
593,0.009075733,<0.2
594,0.014518367,<0.2
595,0.019133395,<0.2
596,0.04066956,<0.2
597,0.07932463,<0.2
598,0.12032724,<0.2
599,0.06264782,<0.2
600,0.06179715,<0.2
601,0.040886283,<0.2
602,0.059014812,<0.2
603,0.022450468,<0.2
604,0.032377813,<0.2
605,0.03640872,<0.2
606,0.05897667,<0.2
607,0.028101664,<0.2
608,0.07466598,<0.2
609,0.037860572,<0.2
610,0.059315305,<0.2
611,0.153712,<0.2
612,0.1542141,<0.2
613,0.37977383,>=0.2
614,0.28360373,>=0.2
615,0.182615,<0.2
616,0.16277811,<0.2
617,0.10535236,<0.2
618,0.048806004,<0.2
619,0.023487343,<0.2
620,0.01674892,<0.2
621,0.015400765,<0.2
622,0.01740681,<0.2
623,0.077608675,<0.2
624,0.10972563,<0.2
625,0.13922545,<0.2
626,0.1389712,<0.2
627,0.15472607,<0.2
628,0.1356462,<0.2
629,0.12103579,<0.2
630,0.10130381,<0.2
631,0.04292938,<0.2
632,0.13576135,<0.2
633,0.23366486,>=0.2
634,0.105425745,<0.2
635,0.2385366,>=0.2
636,0.23800872,>=0.2
637,0.097647436,<0.2
638,0.08347614,<0.2
639,0.089108005,<0.2
640,0.095004074,<0.2
641,0.14415288,<0.2
642,0.16461712,<0.2
643,0.162052,<0.2
644,0.0577872,<0.2
645,0.0768504,<0.2
646,0.06699937,<0.2
647,0.02644842,<0.2
648,0.01680566,<0.2
649,0.055235714,<0.2
650,0.038912885,<0.2
651,0.023319377,<0.2
652,0.0431631,<0.2
653,0.037337225,<0.2
654,0.077275895,<0.2
655,0.047868866,<0.2
656,0.07618469,<0.2
657,0.06456739,<0.2
658,0.014934985,<0.2
659,0.020098144,<0.2
660,0.01362485,<0.2
661,0.014363054,<0.2
662,0.014190609,<0.2
663,0.019466916,<0.2
664,0.024927245,<0.2
665,0.016944217,<0.2
666,0.019832011,<0.2
667,0.029026134,<0.2
668,0.04748267,<0.2
669,0.03890638,<0.2
670,0.06874259,<0.2
671,0.08640503,<0.2
672,0.09346696,<0.2
673,0.03348107,<0.2
674,0.017085679,<0.2
675,0.010957524,<0.2
676,0.011293524,<0.2
677,0.009915323,<0.2
678,0.010129183,<0.2
679,0.010576811,<0.2
680,0.009149615,<0.2
681,0.010388956,<0.2
682,0.012059657,<0.2
683,0.0113748,<0.2
684,0.009062927,<0.2
685,0.011078881,<0.2
686,0.010591798,<0.2
687,0.01563774,<0.2
688,0.015241811,<0.2
689,0.01711385,<0.2
690,0.041443117,<0.2
691,0.15603961,<0.2
692,0.22312339,>=0.2
693,0.37127605,>=0.2
694,0.38328767,>=0.2
695,0.35043156,>=0.2
696,0.083707824,<0.2
697,0.022232361,<0.2
698,0.015678989,<0.2
699,0.008804097,<0.2
700,0.00970692,<0.2
701,0.01023315,<0.2
702,0.013036111,<0.2
703,0.009075733,<0.2
704,0.014518367,<0.2
705,0.019133395,<0.2
706,0.04066956,<0.2
707,0.07932463,<0.2
708,0.12032724,<0.2
709,0.06264782,<0.2
710,0.06179715,<0.2
711,0.040886283,<0.2
712,0.059014812,<0.2
713,0.022450468,<0.2
714,0.032377813,<0.2
715,0.03640872,<0.2
716,0.05897667,<0.2
717,0.028101664,<0.2
718,0.07466598,<0.2
719,0.037860572,<0.2
720,0.059315305,<0.2
721,0.153712,<0.2
722,0.1542141,<0.2
723,0.37977383,>=0.2
724,0.28360373,>=0.2
725,0.182615,<0.2
726,0.16277811,<0.2
727,0.10535236,<0.2
728,0.048806004,<0.2
729,0.023487343,<0.2
730,0.01674892,<0.2
731,0.015400765,<0.2
732,0.01740681,<0.2
733,0.077608675,<0.2
734,0.10972563,<0.2
735,0.13922545,<0.2
736,0.1389712,<0.2
737,0.15472607,<0.2
738,0.1356462,<0.2
739,0.12103579,<0.2
740,0.10130381,<0.2
741,0.04292938,<0.2
742,0.13576135,<0.2
743,0.23366486,>=0.2
744,0.105425745,<0.2
745,0.2385366,>=0.2
746,0.23800872,>=0.2
747,0.097647436,<0.2
748,0.08347614,<0.2
749,0.089108005,<0.2
750,0.095004074,<0.2
751,0.14415288,<0.2
752,0.16461712,<0.2
753,0.162052,<0.2
754,0.0577872,<0.2
755,0.0768504,<0.2
756,0.06699937,<0.2
757,0.02644842,<0.2
758,0.01680566,<0.2
759,0.055235714,<0.2
760,0.038912885,<0.2
761,0.023319377,<0.2
762,0.0431631,<0.2
763,0.037337225,<0.2
764,0.077275895,<0.2
765,0.047868866,<0.2
766,0.07618469,<0.2
767,0.06456739,<0.2
768,0.014934985,<0.2
769,0.020098144,<0.2
770,0.01362485,<0.2
771,0.014363054,<0.2
772,0.014190609,<0.2
773,0.019466916,<0.2
774,0.024927245,<0.2
775,0.016944217,<0.2
776,0.019832011,<0.2
777,0.029026134,<0.2
778,0.04748267,<0.2
779,0.03890638,<0.2
780,0.06874259,<0.2
781,0.08640503,<0.2
782,0.09346696,<0.2
783,0.03348107,<0.2
784,0.017085679,<0.2
785,0.010957524,<0.2
786,0.011293524,<0.2
787,0.009915323,<0.2
788,0.010129183,<0.2
789,0.010576811,<0.2
790,0.009149615,<0.2
791,0.010388956,<0.2
792,0.012059657,<0.2
793,0.0113748,<0.2
794,0.009062927,<0.2
795,0.011078881,<0.2
796,0.010591798,<0.2
797,0.01563774,<0.2
798,0.015241811,<0.2
799,0.01711385,<0.2
800,0.041443117,<0.2
801,0.15603961,<0.2
802,0.22312339,>=0.2
803,0.37127605,>=0.2
804,0.38328767,>=0.2
805,0.35043156,>=0.2
806,0.083707824,<0.2
807,0.022232361,<0.2
808,0.015678989,<0.2
809,0.008804097,<0.2
810,0.00970692,<0.2
811,0.01023315,<0.2
812,0.013036111,<0.2
813,0.009075733,<0.2
814,0.014518367,<0.2
815,0.019133395,<0.2
816,0.04066956,<0.2
817,0.07932463,<0.2
818,0.12032724,<0.2
819,0.06264782,<0.2
820,0.06179715,<0.2
821,0.040886283,<0.2
822,0.059014812,<0.2
823,0.022450468,<0.2
824,0.032377813,<0.2
825,0.03640872,<0.2
826,0.05897667,<0.2
827,0.028101664,<0.2
828,0.07466598,<0.2
829,0.037860572,<0.2
830,0.059315305,<0.2
831,0.153712,<0.2
832,0.1542141,<0.2
833,0.37977383,>=0.2
834,0.28360373,>=0.2
835,0.182615,<0.2
836,0.16277811,<0.2
837,0.10535236,<0.2
838,0.048806004,<0.2
839,0.023487343,<0.2
840,0.01674892,<0.2
841,0.015400765,<0.2
842,0.01740681,<0.2
843,0.077608675,<0.2
844,0.10972563,<0.2
845,0.13922545,<0.2
846,0.1389712,<0.2
847,0.15472607,<0.2
848,0.1356462,<0.2
849,0.12103579,<0.2
850,0.10130381,<0.2
851,0.04292938,<0.2
852,0.13576135,<0.2
853,0.23366486,>=0.2
854,0.105425745,<0.2
855,0.2385366,>=0.2
856,0.23800872,>=0.2
857,0.097647436,<0.2
858,0.08347614,<0.2
859,0.089108005,<0.2
860,0.095004074,<0.2
861,0.14415288,<0.2
862,0.16461712,<0.2
863,0.162052,<0.2
864,0.0577872,<0.2
865,0.0768504,<0.2
866,0.06699937,<0.2
867,0.02644842,<0.2
868,0.01680566,<0.2
869,0.055235714,<0.2
870,0.038912885,<0.2
871,0.023319377,<0.2
872,0.0431631,<0.2
873,0.037337225,<0.2
874,0.077275895,<0.2
875,0.047868866,<0.2
876,0.07618469,<0.2
877,0.06456739,<0.2
878,0.014934985,<0.2
879,0.020098144,<0.2
880,0.01362485,<0.2
881,0.014363054,<0.2
882,0.014190609,<0.2
883,0.019466916,<0.2
884,0.024927245,<0.2
885,0.016944217,<0.2
886,0.019832011,<0.2
887,0.029026134,<0.2
888,0.04748267,<0.2
889,0.03890638,<0.2
890,0.06874259,<0.2
891,0.08640503,<0.2
892,0.09346696,<0.2
893,0.03348107,<0.2
894,0.017085679,<0.2
895,0.010957524,<0.2
896,0.011293524,<0.2
897,0.009915323,<0.2
898,0.010129183,<0.2
899,0.010576811,<0.2
900,0.009149615,<0.2
901,0.010388956,<0.2
902,0.012059657,<0.2
903,0.0113748,<0.2
904,0.009062927,<0.2
905,0.011078881,<0.2
906,0.010591798,<0.2
907,0.01563774,<0.2
908,0.015241811,<0.2
909,0.01711385,<0.2
910,0.041443117,<0.2
911,0.15603961,<0.2
912,0.22312339,>=0.2
913,0.37127605,>=0.2
914,0.38328767,>=0.2
915,0.35043156,>=0.2
916,0.083707824,<0.2
917,0.022232361,<0.2
918,0.015678989,<0.2
919,0.008804097,<0.2
920,0.00970692,<0.2
921,0.01023315,<0.2
922,0.013036111,<0.2
923,0.009075733,<0.2
924,0.014518367,<0.2
925,0.019133395,<0.2
926,0.04066956,<0.2
927,0.07932463,<0.2
928,0.12032724,<0.2
929,0.06264782,<0.2
930,0.06179715,<0.2
931,0.040886283,<0.2
932,0.059014812,<0.2
933,0.022450468,<0.2
934,0.032377813,<0.2
935,0.03640872,<0.2
936,0.05897667,<0.2
937,0.028101664,<0.2
938,0.07466598,<0.2
939,0.037860572,<0.2
940,0.059315305,<0.2
941,0.153712,<0.2
942,0.1542141,<0.2
943,0.37977383,>=0.2
944,0.28360373,>=0.2
945,0.182615,<0.2
946,0.16277811,<0.2
947,0.10535236,<0.2
948,0.048806004,<0.2
949,0.023487343,<0.2
950,0.01674892,<0.2
951,0.015400765,<0.2
952,0.01740681,<0.2
953,0.077608675,<0.2
954,0.10972563,<0.2
955,0.13922545,<0.2
956,0.1389712,<0.2
957,0.15472607,<0.2
958,0.1356462,<0.2
959,0.12103579,<0.2
960,0.10130381,<0.2
961,0.04292938,<0.2
962,0.13576135,<0.2
963,0.23366486,>=0.2
964,0.105425745,<0.2
965,0.2385366,>=0.2
966,0.23800872,>=0.2
967,0.097647436,<0.2
968,0.08347614,<0.2
969,0.089108005,<0.2
970,0.095004074,<0.2
971,0.14415288,<0.2
972,0.16461712,<0.2
973,0.162052,<0.2
974,0.0577872,<0.2
975,0.0768504,<0.2
976,0.06699937,<0.2
977,0.02644842,<0.2
978,0.01680566,<0.2
979,0.055235714,<0.2
980,0.038912885,<0.2
981,0.023319377,<0.2
982,0.0431631,<0.2
983,0.037337225,<0.2
984,0.077275895,<0.2
985,0.047868866,<0.2
986,0.07618469,<0.2
987,0.06456739,<0.2
988,0.014934985,<0.2
989,0.020098144,<0.2
990,0.01362485,<0.2
991,0.014363054,<0.2
992,0.014190609,<0.2
993,0.019466916,<0.2
994,0.024927245,<0.2
995,0.016944217,<0.2
996,0.019832011,<0.2
997,0.029026134,<0.2
998,0.04748267,<0.2
999,0.03890638,<0.2
1000,0.06874259,<0.2
1001,0.08640503,<0.2
1002,0.09346696,<0.2
1003,0.03348107,<0.2
1004,0.017085679,<0.2
1005,0.010957524,<0.2
1006,0.011293524,<0.2
1007,0.009915323,<0.2
1008,0.010129183,<0.2
1009,0.010576811,<0.2
1010,0.009149615,<0.2
1011,0.010388956,<0.2
1012,0.012059657,<0.2
1013,0.0113748,<0.2
1014,0.009062927,<0.2
1015,0.011078881,<0.2
1016,0.010591798,<0.2
1017,0.01563774,<0.2
1018,0.015241811,<0.2
1019,0.01711385,<0.2
1020,0.041443117,<0.2
1021,0.15603961,<0.2
1022,0.22312339,>=0.2
1023,0.37127605,>=0.2
1024,0.38328767,>=0.2
1025,0.35043156,>=0.2
1026,0.083707824,<0.2
1027,0.022232361,<0.2
1028,0.015678989,<0.2
1029,0.008804097,<0.2
1030,0.00970692,<0.2
1031,0.01023315,<0.2
1032,0.013036111,<0.2
1033,0.009075733,<0.2
1034,0.014518367,<0.2
1035,0.019133395,<0.2
1036,0.04066956,<0.2
1037,0.07932463,<0.2
1038,0.12032724,<0.2
1039,0.06264782,<0.2
1040,0.06179715,<0.2
1041,0.040886283,<0.2
1042,0.059014812,<0.2
1043,0.022450468,<0.2
1044,0.032377813,<0.2
1045,0.03640872,<0.2
1046,0.05897667,<0.2
1047,0.028101664,<0.2
1048,0.07466598,<0.2
1049,0.037860572,<0.2
1050,0.059315305,<0.2
1051,0.153712,<0.2
1052,0.1542141,<0.2
1053,0.37977383,>=0.2
1054,0.28360373,>=0.2
1055,0.182615,<0.2
1056,0.16277811,<0.2
1057,0.10535236,<0.2
1058,0.048806004,<0.2
1059,0.023487343,<0.2
1060,0.01674892,<0.2
1061,0.015400765,<0.2
1062,0.01740681,<0.2
1063,0.077608675,<0.2
